question,answer
Syatar dan Cara Daftar Bayi Baru Lahir?,"1. Nomor JKN dan NIK Ibu Kandung 2. AsliFotocopy Surat keterangan lahir dari Dokter atau Bidan PuskesmasKlinikRumah Sakit. 3. Jika peserta belum melakukan autodebet tabungan dilengkapi dengan aFotocopy buku rekening tabungan BNI BRI, Mandiri, BNI, BTN, BCA, Bank Jateng dan Bank Panin, dapat menggunakan rekening tabungan Kepala KeluargaAnggota Keluarga dalam Kartu KeluargaPenanggung bFormulir autodebet pembayaran iuran BPJS Kesehatan bermaterai Rp 10.000,00 sepuluh ribu rupiah. 5. Melakukan perubahan data bayi selambat- lambatnya 3 tiga bulan setelah kelahiran yang meliputi nama, tanggal lahir, jenis kelamin, dan NIK. 6. Pendaftaran dilakukan melalui Rumah Sakit, fasilitas kesehatan tingkat pertama, BPJS Keliling, Mall Pelayanan Publik dan Kantor Cabang dan Kantor KabupatenKota"
Apa yang dimaksud dengan Rawat Inap Tingkat Pertama,"Yaitu pelayanan kesehatan perorangan yang bersifat non spesialistik dan dilaksanakan pada fasilitas kesehatan tingkat pertama untuk keperluan observasi, perawatan, diagnosis, pengobatan, danatau pelayanan medis lainnya, dimana peserta danatau anggota keluarganya dirawat inap paling singkat 1 satu hari"
Cara Membayar Iuran,Pembayaran iuran bagi peserta dapat dilakukan dengan tahapan sebagai berikut I. Peserta dan calon peserta PBPU Kelas I dan II wajib menggunakan fasilitas pembayaran auto debit banknon bank. II. Peserta melakukan registrasi autodebet melalui a. Kantor BPJS Kesehatan dengan mengisi form autodebit yang tersedia dengan melengkapi persyaratan pendaftaran berupa Fotocopy Kartu KeluargaKTP dan Buku Rekening b. Kanal Online seperti Mobile JKN Website BPJS Kesehatan Kanal Bank Aplikasi E-Commerce USSD III. Iuran pertama peserta akan otomatis terdebit pada periode tanggal 5 atau tanggal 20 setiap bulannya IV. Untuk kelancaran proses pendaftaran Autodebit pada Bank Pastikan Nomor Telepon yang digunakan benar atau sesuai dengan Nomoor Telepon yang digunakan saat pembukaan rekening di Bank untuk menerima Pin OTP dan pastikan memiliki saldo pulsa.
Cara Melakukan Perubahan Tambah Peserta Dan Anggota Keluarga,"Perubahan penambahan peserta dan anggota keluarga mengikuti mekanisme pendaftaran peserta baru sesuai dengan jenis kepesertaan, dengan syarat sebagai berikut 1. Kartu Keluarga 2. Buku rekening tabungan BRI, Mandiri, BNI, BTN, dan BCA dapat menggunakan rekening tabungan Kepala Keluargaanggota keluarga dalam Kartu Keluarga penanggung. 3. Formulir Autodebit pembayaran iuran BPJS Kesehatan bermaterai Rp.10.000,00 Sepuluh Ribu Rupiah"
Bagaimana Cara Daftar Menjadi Peserta Melalui Mobile JKN?,"1. Pilih menu DAFTAR 2. Pilih Pendaftaran Peserta Baru 3. Baca dan pahami dengan seksama syarat dan ketentuan pendaftaran, kemudian centang tanda Saya Setuju dan klik Selanjutnya. 4. Masukan Nomor Induk Kependudukan NIK dan kode Captcha lalu klik Cari. 5. Data BapakIbu akan muncul sesuai dengan yang terdaftar dalam Dukcapil, kemudian masukkan data, yaitu a. Alamat DomisiliSurat-Menyurat b. Fasilitas Kesehatan Tingkat Pertama FKTP yang terdekat sesuai dengan domisili c. Kelas Rawa"
Cara Mendaftar Menjadi Peserta PBI APBN,Pendaftaran dilakukan melalui pendataan oleh Kementerian SosialDinas Sosial KabupatenKota. yang selanjutnya ditetapkan melalui Keputusan Menteri Sosial dan didaftarkan oleh Kementerian Kesehatan kepada BPJS Kesehatan
Apa yang dimaksud dengan Upah atau Gaji,"Upah atau gaji adalah hak Pekerja yang diterima dan dinyatakan dalam bentuk uang sebagai imbalan dari Pemberi Kerja kepada Pekerja yang ditetapkan dan dibayar menurut suatu perjanjian kerja, kesepakatan, atau peraturan perundang-undangan, termasuk tunjangan bagi Pekerja dan keluarganya atas suatu pekerjaan danatau jasa yang telah atau akan dilakukan"
Bagaimana kebijakan pengenaan denda akibat keterlambatan iuran Jaminan Kesehatan?,"1 . Bahwa apabila dalam waktu 45 empat puluh lima hari sejak status kepesertaan aktif kembali, Peserta wajib membayar denda kepada BPJS Kesehatan untuk satu kali rawat inap tingkat lanjutan yang diperolehnya. 2. Denda tersebut dikenakan atas pelayanan kesehatan yang tagihan dendanya pertama kali dicetak. 3. Denda sebesar 5 lima persen dari perkiraan biaya paket Indonestan Case Based Groups berdasarkan diagnosa dan prosedur awal untuk setiap bulan tertunggak dengan ketentuan a. Jumlah bulan tertunggak paling banyak 12 dua belas bulan dan b. Besar denda paling tinggi Rp20.000.000,00 dua puluh juta rupiah."
Berapa besaran iuran Peserta Pekerja Penerima Upah (PPU)?,Iuran dibayarkan oleh pemberi kerja dan peserta dengan besaran iuran antara lain a. PPU Penyelenggara Negara - Pemberi kerja 4 - Pekerja atau pensiunan 1 b. PPU Non Penyelenggara Negara - Pemberi kerja 4 - Pekerja atau pensiunan 1
Bagaimana Jika Kartu Peserta Rusak?,A. Peserta dapat mengunjungi kantor BPJS Kesehatan Mobile Customer Service Mall pelayanan publik dengan ketentuan 1. Menyerahkan kartu peserta yang rusak. 2. Menunjukkan KTP atau Kartu Keluarga yang berlaku. 3. Penggantian kartu dapat dilakukan di Kantor Cabang atau Kantor KabupatenKota BPJS Kesehatan terdekat. B. Peserta dapat menggunakan Mobile JKN pada fitur Kartu Peserta sebagai pengganti kartu JKN-KIS untuk mendapatkan pelayanan di fasilitas kesehatan.
Pendaftaran Bayi Baru Lahir?,"1. Bayi baru lahir dari Peserta JKN wajib didaftarkan kepada BPJS Kesehatan paling lama 28 hari sejak dilahirkan 2. Pendaftaran bayi dapat mengaktifkan status kepesertaan untuk mendapatkan manfaat jaminan pelayanan kesehatan selama 28 hari sejak bayi dilahirkan dan masih dalam perawatan. 3. Status kepesertaan bayi baru lahir No. Kepesertaan JKN KIS harus dipastikan selambat-lambatnya 3 hari kerja sejak dirawat, atau 3 hari jika pulang rawat sebelum 3 hari 4. Iuran bagi bayi baru lahir dibayarkan oleh Peserta atau pihak lain atas nama Peserta pada saat mendaftar paling lama 28 dua puluh delapan hari sejak dilahirkan 5. Tidak mendaftar membayar iuran bayi baru lahir paling lama 28 hari sejak dilahirkan akan dikenakan kewajiban membayar iuran sejak bayi dilahirkan dan dikenakan sanksi denda pelayanan 6. Bayi yang dilahirkan bukan dari Peserta JKN, maka berlaku ketentuan pendaftaran Peserta PBPU dan BP 14 hari"
Apa yang dimaksud dengan Virtual Account (VA),Virtual Account adalah nomor rekening virtual yang disediakan oleh BPJS Kesehatan untuk entitas dan perorangan sebagai rekening tujuan dalam pembayaran iuran jaminan kesehatan
Ketentuan Penjamin Kaca Mata?,"1.Pemeriksaan Refraksi mata diberikan atas rekomendasi dari dokter di FKTP yang dapat dibantu oleh refraksionis, atau dirujuk ke spesialis Mata di FKRTL apabila memenuhi kriteria Rujukan dan atau TACC 2. Pelayanan alat bantu kaca mata pada Optik yang bekerjasama dengan BPJS Kesehatan 3. Ketentuan penjaminan kacamata yang dijamin oleh BPJS Kesehatan diberikan maksimal 1 kali dalam 2 dua tahun dengan ukuran sebagai berikut - Untuk lensa spheris, minimal 0.5 Dioptri - Untuk lensa silindris minimal 0.25 Dioptri 4. Penjaminan kacamata tidak dapat diberikan jika - tidak memenuhi indikasi medis atau sebelum 2 dua tahun sejak tanggal legalisasi kacamata - pada kasus penggantian bingkai kacamata saja - pada kasus ADD Additional Value saja, yaitu untuk mengoreksi presbiopia rabun tua atau untuk kebutuhan baca 5. Apabila sebelum 2 tahun diperlukan penggantian kacamata oleh sebab apapun perubahan ukuran, hilang, rusak dan sebab lain maka BPJS Kesehatan tidak menjamin 6. Besaran maksimal bantuan alat kesehatan kaca mata adalah sebagai berikut - PBIHak rawat kelas 3 Rp 165.000,00 - Hak rawat kelas 2 Rp 220.000,00 - Hak rawat kelas 1 Rp 330.000,00"
Bagaimana cara pendaftaran Peserta Pekerja Penerima Upah,Pekerja Penerima Upah di daftarkan oleh perusahaan atau badan atau instansi tempat dia bekerja.
Ketentuan Pelayanan Protesta Gigi/ Gigi Palsu?,"1. Pelayanan protesa gigi hanya diberikan atas rekomendasi dokter gigi pada FKTP atau dokter gigi spesialis prostodonsia pada FKRTL yang bekerja sama dengan BPJS Kesehatan. 2. Pada FKTP yang tidak memiliki dokter gigi jejaring dokter gigi, maka diprioritaskan melakukan rujukan horizontal antar FKTP. 3. Protesa gigigigi palsu dapat diberikan paling cepat 2 dua tahun sekali atas indikasi medis untuk gigi yang sama dengan total besaran maksimal Rp. 1.000.000,00. Dalam hal diperlukan pelayanan protesa gigi pada episode berbeda dalam periode 2 dua tahun maka berlaku ketentuan suplesi. Adapun besaran nilai bantuan alat kesehatan protesa gigi adalah sebagai berikut a. Full protesa gigi maksimal Rp. 1.000.000,00 Masing masing rahang maksimal Rp. 500.000,00 b. Rincian per rahang adalah - 1 - 8 gigi Rp. 250.000,- - 9 - 16 gigi Rp. 500.000,- 4. Apabila penjaminan alat protesa gigi melibatkan elemen gigi yang sudah pernah diberikan bantuan dalam kurun waktu kurang dari 2 dua tahun maka tidak dapat dijamin oleh BPJS Kesehatan 5. Apabila sebelum 2 tahun diperlukan penggantian protesa gigi oleh sebab apapun maka BPJS Kesehatan tidak menjamin"
Siapa yang dimaksud Pekerja Bukan Penerima Upah,"Pekerja Bukan Penerima Upah adalah setiap orang yang bekerja atau berusaha atas risiko sendiri, yang terdiri dari NotarisPengacaraLSM, DokterBidan Praktek Swasta, PedangangPenyedia Jasa, PetaniPeternak, Nelayan, Supir, Ojek, Montir dan pekerja lain yang mampu membayar iuran"
Cara Melakukan Perubahan Kelas Rawat,"I. Peserta PPU Syarat perubahan kelas rawat a. Kartu Keluarga b. Daftar gaji asli dari pemberi kerja c. Perubahan gajiupah yang dilakukan pada bulan berjalan, maka kelas perawatan baru akan berlaku pada bulan selanjutnya.. II. Peserta PBPUBP Syarat perubahan kelas rawat a. Perubahan kelas rawat dapat dilakukan setelah 1 satu tahun dan harus diikuti perubahan kelas rawat seluruh anggota keluarga. b. Peserta yang melakukan perubahan kelas perawatan pada bulan berjalan, maka kelas perawatan barunya berlaku pada bulan selanjutnya. c. Adapun persyaratan perubahan kelas rawat yaitu aslifotokopi Kartu Keluarga. d. Bagi peserta yang belum melakukan Autodebit rekening tabungan dilengkapi dengan 1 Fotokopi buku rekening tabungan BRI, Mandiri, BNI, BTN, dan BCA dapat menggunakan rekening tabungan Kepala Keluarga anggota keluarga dalam Kartu Keluargapenanggung. 2 Formulir Autodebit pembayaran iuran BPJS Kesehatan bermaterai Rp10.000,00 Sepuluh Ribu Rupiah."
Cara Mendaftar Menjadi Peserta PBI APBD,"Pendaftaran dilakukan melalui pendataan oleh Pemerintah Daerah, yang selanjutnya didaftarkan kepada BPJS Kesehatan sesuai dengan perjanijian kerjasama antara Pemerintah KabupatenKota dengan BPJS Kesehatan"
Cara Melakukan Perubahan Data Kependudukan,"Perubahan data kependudukan pada identitas peserta JKN-KIS yang meliputi data NIK, Nama, Tanggal Lahir dan Jenis Kelamin. Peserta melaporkan data kependudukan melalui kanal layanan yang disediakan oleh BPJS Kesehatan, dengan persyaratan a. Kartu Keluarga dan KTP b. Kartu Identitas Peserta JKN-KIS"
Siapa saja yang dimaksud Bukan Pekerja,"Bukan Pekerja adalah setiap orang yang bukan termasuk masyarakat yang didaftarkan dan iurannya dibayar oleh Pemerintah PusatDaerah, PPU serta PBPU, yang terdiri dari BP Penyelenggara Negara dan BP Non Penyelenggara Negara. 1 BP Penyelenggara Negara terdiri dari Penerima Pensiun PP Pejabat Negara, PP PNS PusatDaerah, PP TNI, PP POLRI, Veteran dan Perintis Kemerdekaan. 2 BP Non Penyelenggara Negara terdiri dari Investor, Pemberi Kerja dan BP lain yang mampu membayar iuran."
Cara Melakukan Perubahan Fasilitas Kesehatan Tingkat Pertama (FKTP),"1. Perubahan FKTP dapat dilakukan paling cepat 3 tiga bulan sejak peserta terdaftar di FKTP sebelumnya, dan mulai berlaku pada tanggal 1 satu pada bulan berikutnya. Jika perubahan FKTP dilakukan pada bulan berjalan maka peserta tetap dilayani di FKTP sebelumnya. Adapun persyaratan sebagai berikut a Kartu JKN-KIS seluruh peserta yang akan berubah FKTP. b Kartu Keluarga. 2. Penggantian FKTP dapat dilakukan dalam jangka waktu kurang dari 3 bulan bagi Peserta yang memenuhi kriteria a. Peserta pindah domisili yang dibuktikan dengan surat keterangan domisili. b. Peserta dalam penugasan dinas atau pelatihan yang dibuktikan dengan surat keterangan penugasan atau pelatihan. c. Peserta yang didaftarkan oleh pihak lain atas nama Peserta. 3. BPJS Kesehatan dapat melakukan pemindahan peserta ke FKTP lain setelah mendapatkan persetujuan dari Peserta yang bertujuan untuk pemerataan, peningakan akses, dan peningkatan mutu layanan kesehatan. 4. Untuk pemindahan peserta dari unsur Prajurit atau Anggota POLRI, BPJS Kesehatan wajib berkoordinasi dengan TNI dan POLRI. 5. Karena proses redistribusi pemindahan Peserta yang belum merata dan ingin kembali terdaftar di FKTP sebelumnya. Adapun persyaratan sebagai berikut Kartu JKN seluruh peserta yang akan berubah FKTP. Kartu Keluarga Surat keterangan domisilisurat pindah tugassurat keterangan kuliah."
Apa yang dimaksud dengan Close Payment System,"Close Payment System atau sistem pembayaran tertutup adalah mekanisme pembayaran iuran Peserta Pekerja Penerima Upah Badan Usaha PPU BU BPJS Kesehatan, yang memastikan transaksi pembayaran iuran hanya dapat dilakukan jika besaran iuran yang dibayarkan sama dengan tagihan atau kelipatannya"
Pelayanan Kesehatan yang tidak dijamin?,"1. pelayanan kesehatan yang tidak sesuai dengan ketentuan peraturan perundang-undangan 2. pelayanan kesehatan yang dilakukan di Fasilitas Kesehatan yang tidak bekerja sama dengan BPJS Kesehatan, kecuali dalam keadaan darurat 3. pelayanan kesehatan terhadap penyakit atau cedera akibat Kecelakaan Kerja atau hubungan kerja yang telah dijamin oleh program jaminan Kecelakaan Kerja atau menjadi tanggungan Pemberi Kerja 4. pelayanan kesehatan yang dijamin oleh program jaminan kecelakaan lalu lintas yang bersifat wajib sampai nilai yang ditanggung oleh program jaminan kecelakaan lalu lintas sesuai hak kelas rawat Peserta 5. pelayanan kesehatan yang dilakukan di luar negeri 6. pelayanan kesehatan untuk tujuan estetik 7. pelayanan untuk mengatasi infertilitas 8. pelayanan meratakan gigi atau ortodonsi 9. gangguan kesehatanpenyakit akibat ketergantungan obat danatau alkohol 10. gangguan kesehatan akibat sengaja menyakiti diri sendiri atau akibat melakukan hobi yangmembahayakan diri sendiri"
Cara Melakukan Perubahan Jenis Kepesertaan Peserta PPU menjadi Peserta PBPU,"1 Pekerja sudah tidak lagi sebagai PPU yang ditunjukkan dengan status peserta dinonaktifkan oleh Badan Usaha. 2 Peserta PPU yang beralih menjadi Peserta PBPU BP pada bulan berjalan sebelum dinonaktifkan, maka pembayaran iuran baru dapat dibayarkan pada tanggal 1 bulan berikutnya dan status kepesertaan sebagai PBPU akan aktif sejak iuran dibayarkan. 3 Dalam hal peralihan dilakukan selambat- lambatnya 1 bulan sejak status PPU dinyatakan non aktif, maka Status Peserta langsung aktif tanpa menunggu 14 hari. Jika melebihi 1 bulan, maka status peserta tidak langsung aktif menunggu 14 hari. 4 Melengkapi persayaratan sebagai berikut a Asli Kartu JKN-KIS b AsliFotocopy Kartu Keluarga c Fotokopi buku rekening tabungan BRI, Mandiri, BNI, BTN, dan BCA dapat menggunakan rekening tabungan Kepala Keluargaanggota keluarga dalam Kartu Keluargapenanggung. d Formulir Autodebit pembayaran iuran BPJS Kesehatan bermaterai Rp10.000,00 Sepuluh Ribu Rupiah"
Cara Melakukan Perubahan Segmen Melalui Aplikasi Mobile JKN?,"1. Lakukan Sign In ke dalam Aplikasi Mobile JKN. 2. klik fitur Ubah Data Peserta 3. Klik Segmen Peserta, lalu akan muncul tampilan Perubahan Segmen Peserta. 4. Pilih Segmen Peserta Tujuan yaitu Pekerja Mandiri PBPU, kemudian klik Selanjutnya. 5. Melakukan Pendaftaran Program Auto debit PerbankanNon Perbankan, kemudian klik Selanjutnya. 6. Memilih Kelas Rawat baru yang BapakIbu inginkan 7. Lakukan persetujuan perubahan segmen peserta menjadi Pekerja MandiriPBPU dengan cara centang pada pernyataan tersebut. 8. Setelah melakukan perubahan data sesuai kebutuhan, BapakIbu klik Simpan lalu masukkan kode verifikasi yang telah dikirimkan ke nomor handphone BapakIbu."
Apa yang dimaksud dengan Pelayanan Kesehatan Tingkat Pertama,Yaitu pelayanan kesehatan perorangan yang bersifat non spesialistik primer meliputi pelayanan rawat jalan dan rawat inap
Apa yang dimaksud fasilitas kesehatan tingkat pertama,"Fasilitas Kesehatan Tingkat Pertama yang selanjutnya disingkat FKTP adalah fasilitas kesehatan yang melakukan pelayanan kesehatan perorangan yang bersifat non spesialistik untuk keperluan observasi, promotif, preventif, diagnosis, perawatan, pengobatan, danatau pelayanan kesehatan lainnya"
Apa Kewajiban Peserta?,"1. Mendaftarkan diri dan anggota keluarganya sebagai peserta JKN-KIS kepada BPJS Kesehatan. 2. Membayar iuran secara rutin setiap bulan sebelum tanggal 10 sepuluh. 3. Memberikan data dirinya dan anggota keluarganya secara lengkap dan benar. 4. Melaporkan perubahan data dirinya dan anggota keluarganya, antara lain perubahan golongan, pangkat atau besaran gaji, pernikahan, perceraian, kematian, kelahiran, pindah alamatdomisili dan pindah fasilitas kesehatan tingkat pertama serta perubahan alamat email dan nomor handphone 5. Menjaga kartu peserta agar tidak rusak, hilang atau dimanfaatkan oleh orang yang tidak berhak. 6. Mentaati semua ketentuan dan tata cara pelayanan kesehatan."
Cara Melakukan Perubahan Alamat,"Peserta melaporkan perubahan alamat ke Kantor BPJS Kesehatan setempat, dengan persyaratan a. Kartu identitas peserta JKN-KIS b. Kartu Tanda Penduduk elektronik dan Kartu Keluarga"
Bagaimana Cara Registrasi Pengguna Aplikasi Mobile JKN?,1. SetelahDowload pilih DAFTAR untuk masuk di halaman registrasi. 2. Pilih menu Pendaftaran Pengguna Mobile 3. Proses Registrasi dengan memasukan data No Kartu BPJS No Handphone Password Lalu Klik Register
Apakah yang dimaksud dengan BPJS Kesehatan,BPJS Kesehatan adalah badan hukum yang dibentuk untuk menyelenggarakan program Jaminan Kesehatan Nasional-Kartu Indonesia Sehat JKN-KIS yang merupakan jaminan berupa perlindungan kesehatan agar peserta memperoleh manfaat pemeliharaan kesehatan dan perlindungan dalam memenuhi kebutuhan dasar kesehatan yang diberikan kepada setiap orang yang telah membayar iuran atau iurannya dibayarkan oleh Pemerintah
Cara mengaktifkan kartu anak PPU yang masih kuliah,Untuk anak 21 tahun yang masih kuliahbelum menikahbelum bekerja dapat dilakukan perpanjangan masa berlaku kepesertaan melalui HRDPIC perusahaansatuan kerja dengan melampirkan surat keterangan sekolahperguruan tinggi semester berjalan
Ketentuan penonaktifan peserta meninggal,".a Peserta PBI Anggota keluarga Pesertayang mewakili melaporkan ke kantor BPJS Kesehatan atau Dinas Sosial setempat, dengan syarat 1. surat keterangan kematian dari desakelurahan 2. Kartu Identitas Peserta JKN-KIS. b. Peserta PPU Bagi PPU Penyelenggara Negara laporan peserta meninggal disampaikan ke Kantor BPJS Kesehatan setempat. Sedangkan bagi PPU Non Penyelenggara Negara laporan peserta meninggal disampaikan ke PIC Badan Usaha. Syarat yang dibutuhkan 1. surat keterangan kematian dari desakelurahan 2. Kartu Identitas Peserta JKN-KIS. c. Peserta PBPUBP Anggota keluarga Pesertayang mewakili melaporkan ke kantor BPJS Kesehatan, dengan syarat 1 Surat keterangan kematian dari Fasilitas KesehatanDesaKelurahan 2 Asli Kartu identitas peserta JKN-KIS. 3 AsliFotokopi Kartu Keluarga 4 Bukti pembayaran iuran"
Apa yang dimaksud fasilitas kesehatan rujukan tingkat lanjutan,"Fasilitas Kesehatan Rujukan Tingkat Lanjutan yang selanjutnya disingkat FKRTL adalah fasilitas kesehatan yang melakukan pelayanan kesehatan perorangan yang bersifat spesialistik atau sub spesialistik yang meliputi rawat jalan tingkat lanjutan, rawat inap tingkat lanjutan dan rawat inap di ruang perawatan khusus"
cara mengaktifkan kartu peserta diatas 90 tahun yang dinonaktifkan,Untuk pengaktifan kembali bagi peserta yang di nonaktifkan karena usia 90 tahun dengan menunjukan a. Kartu JKN KIS Jaminan Kesehatan Nasional - Kartu Indonesia Sehat b. SK pensiun c. KTP d. Kartu Keluarga Pelaporan dapat dilakukan melalui Kantor Cabang atau Pelayanan Whatsapp Administrasi PANDAWA
Bagaimana Pelayanan di luar wilayah domisili,"Sesuai Pepres 82 Tahun 2018 untuk Pelayanan di luar wilayah domisili Peserta datang ke FKTP tempat Peserta terdaftar maupun FKTP lain diluar tempat peserta terdaftar serta menunjukkan kartu identitas peserta JKN-KISKIS Digital dengan status aktif danatau identitas lain yang diperlukan KTP, SIM, KK. Saat BapakIbu sedang berada diluar daerah dengan jarak tempuh yang tidak memungkinkan untuk menuju ke Faskes tingkat 1 terdaftar, maka dapat mengakses pelayanan kesehatan pada faskes tingkat 1 bekerjasama dengan BPJS Kesehatan terdekat maksimal untuk 3x kunjungan dalam waktu paling lama 1 bulan di FKTP yang sama"
Bagaimana tata cara pendaftaran Pekerja Penerima Upah,"a. Data-data yang disiapkan Badan Usaha antara lain Nama Badan Usaha, alamat, kode pos, dan nomor telepon Badan Usaha Alamat e-mail Badan Usaha Informasi badan usaha yang tertera pada perizinan yang dimiliki, misalnya Surat Izin Usaha, Surat Tanda Daftar Perusahaan, Nomor Pokok Wajib Pajak Badan, serta dokumen legal lainnya Informasi identitas Pemilik atau Kontak Person Badan Usaha, antara lain nama lengkap, jabatan, nomor telepon, dan handphone Data jumlah karyawan dan keluarga b. Tahapan pendaftaran Badan Usaha melalui website BPJS Kesehatan Pilih menu Layanan sub menu Pendaftaran Badan Usaha Badan Hukum lainnya Membaca syarat dan ketentuan, menandai persetujuan syarat dan ketentuan tersebut, mengklik tombol pendaftaran. Isi formulir secara lengkap dan benar sesuai data dan informasi yang dimiliki Badan Usaha Badan Hukum Lainnya, serta mengisi alamat email Konfirmasi pendaftaran Badan Usaha Badan Hukum lainnya akan dikirim melalui email Pemohon melakukan aktivasi pendaftaran, maka informasi registrasi telah berhasil dapat dicek melalui email. Pada email masuk terdapat lampiran yang berisi Formulir Registrasi Badan Usaha Badan Hukum lainnya. Pemberi Kerja memberikan tanda tangan, materai dan stempel perusahaan pada formulir tersebut. Pada email masuk juga dikirimkan informasi hak akses berupa link beserta username dan password untuk mengakses aplikasi online yang akan digunakan untuk pendaftaran peserta. Petugas menerbitkannya dalam waktu maksimal 3 jam Setelah Badan Usaha Badan Hukum lainnya telah terdaftar selanjutnya melakukan proses pendaftaran peserta melalui aplikasi tersebut. Badan Usaha baru yang tidak melakukan entry data kepesertaan dalam jangka waktu 3 tiga bulan setelah menerima username dan password harus melakukan pendaftaran Badan Usaha kembali."
Apakah yang dimaksud dengan anggota keluarga yang lain bagi Peserta Pekerta Bukan Penerima Upah,Anggota keluarga yang lain yang tercantum dalam Kartu Keluarga dan didaftarkan menjadi Peserta Pekerja Bukan Penerima Upah atau Bukan Pekerja
Bagaimana jika pada saat registrasi BU tidak menerima link aktivasi di email yang di daftarkan,PIC BU menghubungi kantor BPJS Kesehatan Sesuai dengan wilayah perusahaan terdaftar untuk di kirim ulang link aktivasi kepada badan usaha
Pegurangan anggota keluarga pernikahan/perceraian,"a. Peserta PBI Peserta melaporkan ke Dinas Sosial setempat, dengan menunjukkan surat nikahcerai. b. Peserta PPU Bagi PPU Penyelenggara Negara laporan peserta meninggal disampaikan ke Kantor BPJS Kesehatan setempat. Sedangkan bagi PPU Non Penyelenggara Negara laporan peserta menikahcerai disampaikan ke PIC Badan Usaha, dengan menunjukkan surat nikahcerai. c. Peserta PBPUBP Peserta melaporkan ke kantor BPJS Kesehatan, dengan syarat 1. surat nikahcerai 2. Kartu Keluarga 3. Kartu Identitas Peserta JKN-KIS."
